[2026-05-16 03:13:29 KST] waiting for active DeepSeek-V4-Flash run to finish
[2026-05-16 03:58:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 06:03 KST
[2026-05-16 03:58:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 112/151 remaining=39 finish=2026-05-16 05:51 KST
[2026-05-16 03:58:30 KST] deepseek total 224/303 remaining=79 finish=2026-05-16 06:03 KST
[2026-05-16 04:03:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 05:54 KST
[2026-05-16 04:03:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 06:06 KST
[2026-05-16 04:03:30 KST] deepseek total 232/303 remaining=71 finish=2026-05-16 06:06 KST
[2026-05-16 04:08:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 05:58 KST
[2026-05-16 04:08:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 112/152 remaining=40 finish=2026-05-16 06:09 KST
[2026-05-16 04:08:30 KST] deepseek total 232/303 remaining=71 finish=2026-05-16 06:09 KST
[2026-05-16 04:13:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:11 KST
[2026-05-16 04:13:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:01 KST
[2026-05-16 04:13:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:11 KST
[2026-05-16 04:18:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:14 KST
[2026-05-16 04:18:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:04 KST
[2026-05-16 04:18:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:14 KST
[2026-05-16 04:23:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:08 KST
[2026-05-16 04:23:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:15 KST
[2026-05-16 04:23:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:15 KST
[2026-05-16 04:28:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:11 KST
[2026-05-16 04:28:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:17 KST
[2026-05-16 04:28:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:17 KST
[2026-05-16 04:33:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:14 KST
[2026-05-16 04:33:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:19 KST
[2026-05-16 04:33:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:19 KST
[2026-05-16 04:38:30 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:21 KST
[2026-05-16 04:38:30 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:17 KST
[2026-05-16 04:38:30 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:21 KST
[2026-05-16 04:43:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:23 KST
[2026-05-16 04:43:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:21 KST
[2026-05-16 04:43:31 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:23 KST
[2026-05-16 04:48:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:24 KST
[2026-05-16 04:48:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:24 KST
[2026-05-16 04:48:31 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:24 KST
[2026-05-16 04:53:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 120/152 remaining=32 finish=2026-05-16 06:26 KST
[2026-05-16 04:53:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:27 KST
[2026-05-16 04:53:31 KST] deepseek total 240/303 remaining=63 finish=2026-05-16 06:27 KST
[2026-05-16 04:58:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:28 KST
[2026-05-16 04:58:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 120/151 remaining=31 finish=2026-05-16 06:30 KST
[2026-05-16 04:58:31 KST] deepseek total 248/303 remaining=55 finish=2026-05-16 06:30 KST
[2026-05-16 05:03:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:30 KST
[2026-05-16 05:03:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:33 KST
[2026-05-16 05:03:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:33 KST
[2026-05-16 05:08:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:31 KST
[2026-05-16 05:08:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:35 KST
[2026-05-16 05:08:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:35 KST
[2026-05-16 05:13:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:33 KST
[2026-05-16 05:13:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:36 KST
[2026-05-16 05:13:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:36 KST
[2026-05-16 05:18:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:37 KST
[2026-05-16 05:18:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:34 KST
[2026-05-16 05:18:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:37 KST
[2026-05-16 05:23:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:36 KST
[2026-05-16 05:23:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:39 KST
[2026-05-16 05:23:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:39 KST
[2026-05-16 05:28:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:40 KST
[2026-05-16 05:28:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:37 KST
[2026-05-16 05:28:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:40 KST
[2026-05-16 05:33:31 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 128/152 remaining=24 finish=2026-05-16 06:39 KST
[2026-05-16 05:33:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:41 KST
[2026-05-16 05:33:31 KST] deepseek total 256/303 remaining=47 finish=2026-05-16 06:41 KST
[2026-05-16 05:38:31 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:43 KST
[2026-05-16 05:38:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:41 KST
[2026-05-16 05:38:32 KST] deepseek total 264/303 remaining=39 finish=2026-05-16 06:43 KST
[2026-05-16 05:43:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 128/151 remaining=23 finish=2026-05-16 06:44 KST
[2026-05-16 05:43:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:43 KST
[2026-05-16 05:43:32 KST] deepseek total 264/303 remaining=39 finish=2026-05-16 06:44 KST
[2026-05-16 05:48:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:46 KST
[2026-05-16 05:48:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:46 KST
[2026-05-16 05:48:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:46 KST
[2026-05-16 05:53:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:48 KST
[2026-05-16 05:53:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:48 KST
[2026-05-16 05:53:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:48 KST
[2026-05-16 05:58:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:50 KST
[2026-05-16 05:58:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:50 KST
[2026-05-16 05:58:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:50 KST
[2026-05-16 06:03:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:53 KST
[2026-05-16 06:03:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:52 KST
[2026-05-16 06:03:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:53 KST
[2026-05-16 06:08:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:55 KST
[2026-05-16 06:08:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:54 KST
[2026-05-16 06:08:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:55 KST
[2026-05-16 06:13:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:57 KST
[2026-05-16 06:13:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:57 KST
[2026-05-16 06:13:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:57 KST
[2026-05-16 06:18:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 06:58 KST
[2026-05-16 06:18:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 06:59 KST
[2026-05-16 06:18:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 06:59 KST
[2026-05-16 06:23:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 07:01 KST
[2026-05-16 06:23:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 07:02 KST
[2026-05-16 06:23:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 07:02 KST
[2026-05-16 06:28:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 136/152 remaining=16 finish=2026-05-16 07:04 KST
[2026-05-16 06:28:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 07:02 KST
[2026-05-16 06:28:32 KST] deepseek total 272/303 remaining=31 finish=2026-05-16 07:04 KST
[2026-05-16 06:33:32 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 136/151 remaining=15 finish=2026-05-16 07:04 KST
[2026-05-16 06:33:32 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:06 KST
[2026-05-16 06:33:32 KST] deepseek total 280/303 remaining=23 finish=2026-05-16 07:06 KST
[2026-05-16 06:38:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:07 KST
[2026-05-16 06:38:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:11 KST
[2026-05-16 06:38:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:11 KST
[2026-05-16 06:43:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:12 KST
[2026-05-16 06:43:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:15 KST
[2026-05-16 06:43:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:15 KST
[2026-05-16 06:48:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:20 KST
[2026-05-16 06:48:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:16 KST
[2026-05-16 06:48:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:20 KST
[2026-05-16 06:53:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:21 KST
[2026-05-16 06:53:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:25 KST
[2026-05-16 06:53:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:25 KST
[2026-05-16 06:58:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:29 KST
[2026-05-16 06:58:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:26 KST
[2026-05-16 06:58:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:29 KST
[2026-05-16 07:03:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:34 KST
[2026-05-16 07:03:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:30 KST
[2026-05-16 07:03:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:34 KST
[2026-05-16 07:08:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:39 KST
[2026-05-16 07:08:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:35 KST
[2026-05-16 07:08:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:39 KST
[2026-05-16 07:13:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:40 KST
[2026-05-16 07:13:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:43 KST
[2026-05-16 07:13:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:43 KST
[2026-05-16 07:18:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:48 KST
[2026-05-16 07:18:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:44 KST
[2026-05-16 07:18:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:48 KST
[2026-05-16 07:23:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:49 KST
[2026-05-16 07:23:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:53 KST
[2026-05-16 07:23:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:53 KST
[2026-05-16 07:28:33 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:54 KST
[2026-05-16 07:28:33 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 07:57 KST
[2026-05-16 07:28:33 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 07:57 KST
[2026-05-16 07:33:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:02 KST
[2026-05-16 07:33:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 07:58 KST
[2026-05-16 07:33:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:02 KST
[2026-05-16 07:38:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:06 KST
[2026-05-16 07:38:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:03 KST
[2026-05-16 07:38:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:06 KST
[2026-05-16 07:43:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:11 KST
[2026-05-16 07:43:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:08 KST
[2026-05-16 07:43:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:11 KST
[2026-05-16 07:48:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:16 KST
[2026-05-16 07:48:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:12 KST
[2026-05-16 07:48:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:16 KST
[2026-05-16 07:53:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:20 KST
[2026-05-16 07:53:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:17 KST
[2026-05-16 07:53:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:20 KST
[2026-05-16 07:58:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:25 KST
[2026-05-16 07:58:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:22 KST
[2026-05-16 07:58:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:25 KST
[2026-05-16 08:03:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:26 KST
[2026-05-16 08:03:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:29 KST
[2026-05-16 08:03:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:29 KST
[2026-05-16 08:08:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:31 KST
[2026-05-16 08:08:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:34 KST
[2026-05-16 08:08:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:34 KST
[2026-05-16 08:13:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:35 KST
[2026-05-16 08:13:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:39 KST
[2026-05-16 08:13:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:39 KST
[2026-05-16 08:18:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:40 KST
[2026-05-16 08:18:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:43 KST
[2026-05-16 08:18:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:43 KST
[2026-05-16 08:23:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:45 KST
[2026-05-16 08:23:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:48 KST
[2026-05-16 08:23:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:48 KST
[2026-05-16 08:28:34 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:52 KST
[2026-05-16 08:28:34 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:49 KST
[2026-05-16 08:28:34 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:52 KST
[2026-05-16 08:33:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 08:57 KST
[2026-05-16 08:33:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:54 KST
[2026-05-16 08:33:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 08:57 KST
[2026-05-16 08:38:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:01 KST
[2026-05-16 08:38:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 08:58 KST
[2026-05-16 08:38:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:01 KST
[2026-05-16 08:43:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:03 KST
[2026-05-16 08:43:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:06 KST
[2026-05-16 08:43:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:06 KST
[2026-05-16 08:48:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:07 KST
[2026-05-16 08:48:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:10 KST
[2026-05-16 08:48:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:10 KST
[2026-05-16 08:53:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:12 KST
[2026-05-16 08:53:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:15 KST
[2026-05-16 08:53:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:15 KST
[2026-05-16 08:58:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:16 KST
[2026-05-16 08:58:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:19 KST
[2026-05-16 08:58:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:19 KST
[2026-05-16 09:03:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:21 KST
[2026-05-16 09:03:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:24 KST
[2026-05-16 09:03:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:24 KST
[2026-05-16 09:08:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:25 KST
[2026-05-16 09:08:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:28 KST
[2026-05-16 09:08:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:28 KST
[2026-05-16 09:13:35 KST] deepseek DeepSeek-V4-Flash.status.shard01.json 144/151 remaining=7 finish=2026-05-16 09:30 KST
[2026-05-16 09:13:35 KST] deepseek DeepSeek-V4-Flash.status.shard00.json 144/152 remaining=8 finish=2026-05-16 09:33 KST
[2026-05-16 09:13:35 KST] deepseek total 288/303 remaining=15 finish=2026-05-16 09:33 KST
