[1/303] elapsed=0.8s rate=1.2330/s eta=244.9s
[169/303] elapsed=428.7s rate=0.3942/s eta=339.9s
[170/303] elapsed=429.8s rate=0.3955/s eta=336.3s
[171/303] elapsed=432.0s rate=0.3958/s eta=333.5s
[172/303] elapsed=434.8s rate=0.3956/s eta=331.1s
[173/303] elapsed=435.6s rate=0.3972/s eta=327.3s
[174/303] elapsed=437.2s rate=0.3980/s eta=324.1s
[175/303] elapsed=438.9s rate=0.3987/s eta=321.1s
[176/303] elapsed=441.3s rate=0.3988/s eta=318.4s
[177/303] elapsed=443.9s rate=0.3987/s eta=316.0s
[178/303] elapsed=447.0s rate=0.3982/s eta=313.9s
[179/303] elapsed=451.5s rate=0.3964/s eta=312.8s
[180/303] elapsed=456.8s rate=0.3941/s eta=312.1s
[181/303] elapsed=458.1s rate=0.3951/s eta=308.8s
[182/303] elapsed=459.2s rate=0.3963/s eta=305.3s
[183/303] elapsed=461.0s rate=0.3969/s eta=302.3s
[184/303] elapsed=463.5s rate=0.3970/s eta=299.8s
[185/303] elapsed=467.0s rate=0.3961/s eta=297.9s
[186/303] elapsed=471.0s rate=0.3949/s eta=296.3s
[187/303] elapsed=475.5s rate=0.3933/s eta=295.0s
[188/303] elapsed=476.7s rate=0.3944/s eta=291.6s
[189/303] elapsed=477.9s rate=0.3955/s eta=288.3s
[190/303] elapsed=479.2s rate=0.3965/s eta=285.0s
[191/303] elapsed=481.2s rate=0.3969/s eta=282.2s
[192/303] elapsed=483.6s rate=0.3970/s eta=279.6s
[193/303] elapsed=486.0s rate=0.3971/s eta=277.0s
[194/303] elapsed=488.8s rate=0.3969/s eta=274.7s
[195/303] elapsed=489.7s rate=0.3982/s eta=271.2s
[196/303] elapsed=491.0s rate=0.3992/s eta=268.0s
[197/303] elapsed=492.3s rate=0.4002/s eta=264.9s
[198/303] elapsed=494.6s rate=0.4003/s eta=262.3s
[199/303] elapsed=496.6s rate=0.4007/s eta=259.6s
[200/303] elapsed=498.8s rate=0.4010/s eta=256.9s
[201/303] elapsed=501.0s rate=0.4012/s eta=254.3s
[202/303] elapsed=503.4s rate=0.4013/s eta=251.7s
[203/303] elapsed=504.2s rate=0.4026/s eta=248.4s
[204/303] elapsed=506.3s rate=0.4029/s eta=245.7s
[205/303] elapsed=509.4s rate=0.4025/s eta=243.5s
[206/303] elapsed=513.5s rate=0.4012/s eta=241.8s
[207/303] elapsed=517.9s rate=0.3997/s eta=240.2s
[208/303] elapsed=522.8s rate=0.3979/s eta=238.8s
[209/303] elapsed=528.3s rate=0.3956/s eta=237.6s
[210/303] elapsed=534.0s rate=0.3933/s eta=236.5s
[211/303] elapsed=535.1s rate=0.3943/s eta=233.3s
[212/303] elapsed=536.4s rate=0.3953/s eta=230.2s
[213/303] elapsed=537.8s rate=0.3961/s eta=227.2s
[214/303] elapsed=540.4s rate=0.3960/s eta=224.8s
[215/303] elapsed=543.3s rate=0.3957/s eta=222.4s
[216/303] elapsed=547.5s rate=0.3945/s eta=220.5s
[217/303] elapsed=552.9s rate=0.3925/s eta=219.1s
[218/303] elapsed=559.1s rate=0.3899/s eta=218.0s
[219/303] elapsed=565.3s rate=0.3874/s eta=216.8s
[220/303] elapsed=566.5s rate=0.3883/s eta=213.7s
[221/303] elapsed=567.9s rate=0.3891/s eta=210.7s
[222/303] elapsed=569.5s rate=0.3898/s eta=207.8s
[223/303] elapsed=572.1s rate=0.3898/s eta=205.3s
[224/303] elapsed=574.9s rate=0.3897/s eta=202.7s
[225/303] elapsed=578.6s rate=0.3888/s eta=200.6s
[226/303] elapsed=579.3s rate=0.3901/s eta=197.4s
[227/303] elapsed=580.1s rate=0.3913/s eta=194.2s
[228/303] elapsed=581.4s rate=0.3922/s eta=191.3s
[229/303] elapsed=584.1s rate=0.3920/s eta=188.8s
[230/303] elapsed=586.9s rate=0.3919/s eta=186.3s
[231/303] elapsed=588.1s rate=0.3928/s eta=183.3s
[232/303] elapsed=589.4s rate=0.3936/s eta=180.4s
[233/303] elapsed=592.3s rate=0.3934/s eta=178.0s
[234/303] elapsed=596.4s rate=0.3924/s eta=175.9s
[235/303] elapsed=597.2s rate=0.3935/s eta=172.8s
[236/303] elapsed=598.7s rate=0.3942/s eta=170.0s
[237/303] elapsed=601.4s rate=0.3941/s eta=167.5s
[238/303] elapsed=602.5s rate=0.3950/s eta=164.6s
[239/303] elapsed=604.4s rate=0.3954/s eta=161.9s
[240/303] elapsed=606.7s rate=0.3956/s eta=159.3s
[241/303] elapsed=607.5s rate=0.3967/s eta=156.3s
[242/303] elapsed=608.7s rate=0.3975/s eta=153.4s
[243/303] elapsed=611.3s rate=0.3975/s eta=150.9s
[244/303] elapsed=614.0s rate=0.3974/s eta=148.5s
[245/303] elapsed=616.7s rate=0.3973/s eta=146.0s
[246/303] elapsed=617.5s rate=0.3984/s eta=143.1s
[247/303] elapsed=618.9s rate=0.3991/s eta=140.3s
[248/303] elapsed=621.6s rate=0.3990/s eta=137.9s
[249/303] elapsed=623.7s rate=0.3992/s eta=135.3s
[250/303] elapsed=626.8s rate=0.3989/s eta=132.9s
[251/303] elapsed=630.0s rate=0.3984/s eta=130.5s
[252/303] elapsed=630.9s rate=0.3994/s eta=127.7s
[253/303] elapsed=632.9s rate=0.3997/s eta=125.1s
[254/303] elapsed=633.7s rate=0.4008/s eta=122.3s
[255/303] elapsed=634.9s rate=0.4017/s eta=119.5s
[256/303] elapsed=636.2s rate=0.4024/s eta=116.8s
[257/303] elapsed=637.4s rate=0.4032/s eta=114.1s
[258/303] elapsed=639.0s rate=0.4038/s eta=111.5s
[259/303] elapsed=640.5s rate=0.4044/s eta=108.8s
[260/303] elapsed=643.7s rate=0.4039/s eta=106.5s
[261/303] elapsed=647.7s rate=0.4030/s eta=104.2s
[262/303] elapsed=651.8s rate=0.4020/s eta=102.0s
[263/303] elapsed=656.6s rate=0.4005/s eta=99.9s
[264/303] elapsed=662.3s rate=0.3986/s eta=97.8s
[265/303] elapsed=663.2s rate=0.3996/s eta=95.1s
[266/303] elapsed=665.0s rate=0.4000/s eta=92.5s
[267/303] elapsed=667.4s rate=0.4001/s eta=90.0s
[268/303] elapsed=670.3s rate=0.3998/s eta=87.5s
[269/303] elapsed=673.5s rate=0.3994/s eta=85.1s
[270/303] elapsed=677.2s rate=0.3987/s eta=82.8s
[271/303] elapsed=680.6s rate=0.3982/s eta=80.4s
[272/303] elapsed=684.3s rate=0.3975/s eta=78.0s
[273/303] elapsed=688.4s rate=0.3966/s eta=75.7s
[274/303] elapsed=692.9s rate=0.3954/s eta=73.3s
[275/303] elapsed=693.9s rate=0.3963/s eta=70.7s
[276/303] elapsed=695.2s rate=0.3970/s eta=68.0s
[277/303] elapsed=696.9s rate=0.3975/s eta=65.4s
[278/303] elapsed=698.8s rate=0.3978/s eta=62.8s
[279/303] elapsed=701.2s rate=0.3979/s eta=60.3s
[280/303] elapsed=703.6s rate=0.3979/s eta=57.8s
[281/303] elapsed=706.3s rate=0.3979/s eta=55.3s
[282/303] elapsed=709.3s rate=0.3976/s eta=52.8s
[283/303] elapsed=712.8s rate=0.3970/s eta=50.4s
[284/303] elapsed=713.5s rate=0.3980/s eta=47.7s
[285/303] elapsed=714.8s rate=0.3987/s eta=45.1s
[286/303] elapsed=716.2s rate=0.3993/s eta=42.6s
[287/303] elapsed=718.5s rate=0.3995/s eta=40.1s
[288/303] elapsed=719.4s rate=0.4004/s eta=37.5s
[289/303] elapsed=720.4s rate=0.4012/s eta=34.9s
[290/303] elapsed=721.2s rate=0.4021/s eta=32.3s
[291/303] elapsed=722.2s rate=0.4029/s eta=29.8s
[292/303] elapsed=723.0s rate=0.4039/s eta=27.2s
[293/303] elapsed=724.4s rate=0.4045/s eta=24.7s
[294/303] elapsed=725.7s rate=0.4051/s eta=22.2s
[295/303] elapsed=727.8s rate=0.4053/s eta=19.7s
[296/303] elapsed=730.6s rate=0.4051/s eta=17.3s
[297/303] elapsed=733.5s rate=0.4049/s eta=14.8s
[298/303] elapsed=736.8s rate=0.4045/s eta=12.4s
[299/303] elapsed=740.4s rate=0.4038/s eta=9.9s
[300/303] elapsed=744.7s rate=0.4028/s eta=7.4s
[301/303] elapsed=749.0s rate=0.4019/s eta=5.0s
[302/303] elapsed=753.4s rate=0.4008/s eta=2.5s
[303/303] elapsed=758.0s rate=0.3998/s eta=0.0s
{"output_path": "tb2_lite/results/20260516T122826Z_llada21_flash_sglang_full_suffix_len256/llada21_flash_sglang_full_suffix_len256.json", "score": 17.41}
